,n_unique,mean,std
Protocol,3,4.961766732870199,4.8626081455951535
Flow Duration,85380,6737170.765921562,21833544.737888552
Tot Fwd Pkts,569,6.1603308044165415,1554.1689877282129
Tot Bwd Pkts,699,6.119012239414462,105.86339196208412
TotLen Fwd Pkts,5602,731.0557069286892,69652.8937522905
TotLen Bwd Pkts,7585,8335.00514991756,342971.93815074285
Fwd Pkt Len Max,2132,115.6893561585279,666.5198107402224
Fwd Pkt Len Min,76,4.447778207503003,31.285832033463457
Fwd Pkt Len Mean,9704,43.70595034383487,267.93059389191814
Fwd Pkt Len Std,11888,50.511830401307954,332.0419900434969
Bwd Pkt Len Max,2988,409.155506573342,2859.4301803032745
Bwd Pkt Len Min,64,5.202879417486456,21.23212486620587
Bwd Pkt Len Mean,10858,86.24870764551395,352.23648515379926
Bwd Pkt Len Std,13313,113.70365132409071,501.1669763826258
Flow Byts/s,117642,74539.61920332054,662730.8209113935
Flow Pkts/s,103315,247305.8835148395,565540.6305667431
Flow IAT Mean,104184,569523.4926185997,2136013.470919305
Flow IAT Std,110452,1572945.3673911875,5401987.811709629
Flow IAT Max,48508,4940184.720060834,16415855.406332795
Flow IAT Min,18156,18316.92160551806,902395.3858936216
Fwd IAT Tot,39965,2935794.5781720267,16406600.23681553
Fwd IAT Mean,52708,290419.65436353465,2073351.5575593559
Fwd IAT Std,50639,461643.315898804,3156849.065191143
Fwd IAT Max,39042,1229791.181706888,7441971.8924442055
Fwd IAT Min,16164,25047.227404773053,722554.1640969848
Bwd IAT Tot,48842,6461482.551718723,21391035.82246479
Bwd IAT Mean,70930,893606.6211315816,3328300.955861817
Bwd IAT Std,79152,1951697.953062498,6858530.0613208385
Bwd IAT Max,44259,4863909.19573467,16385107.140175369
Bwd IAT Min,16693,22611.842248516237,1117834.1757672692
Bwd PSH Flags,2,0.05385749471486439,0.2257366012780568
Bwd URG Flags,2,0.011628752300887786,0.10720801202849653
Fwd Header Len,665,74.87122879766436,1201.2200860255134
Bwd Header Len,1057,125.52848157399626,2195.501660790771
Fwd Pkts/s,88034,2201.0047311527264,34342.158001638745
Bwd Pkts/s,100285,245105.19907617147,563380.4047035994
Pkt Len Min,51,4.224002512438607,14.627938982925443
Pkt Len Max,3279,460.99664135811264,2919.4592555653608
Pkt Len Mean,14691,67.52509284049304,242.56714834692409
Pkt Len Std,21336,114.76338312916616,476.02723060324206
Pkt Len Var,20867,239776.61050770365,5502683.86066741
FIN Flag Cnt,2,0.13770431738148065,0.34458987746038694
SYN Flag Cnt,2,0.23694564234389584,0.4252092786825076
RST Flag Cnt,2,0.0010613889947046866,0.03256171880089727
PSH Flag Cnt,2,0.05385749471486439,0.2257366012780568
ACK Flag Cnt,2,0.2742338370811512,0.4461280292067157
URG Flag Cnt,2,0.011628752300887786,0.10720801202849653
Down/Up Ratio,10,0.7211600254733359,1.0802195146651623
Pkt Size Avg,14491,75.42405512854758,258.4389649024435
Fwd Seg Size Avg,9704,43.70595034383487,267.93059389191814
Bwd Seg Size Avg,10858,86.24870764551974,352.2364851538661
Subflow Fwd Pkts,569,6.1603308044165415,1554.1689877282129
Subflow Fwd Byts,5602,731.0797524782706,69633.97924761106
Subflow Bwd Pkts,699,6.119012239414462,105.86339196208412
Subflow Bwd Byts,7589,8337.208261968251,343424.0523069835
Init Bwd Win Byts,227,5751.589995609048,18170.791052245455
Fwd Act Data Pkts,289,1.4415407297122036,39.47005621618701
Active Mean,19103,63851.03849259033,785271.8495347799
Active Std,8559,31053.504867056592,503560.1134478046
Active Max,18380,108638.37293138193,1220600.7731721627
Active Min,16183,41855.7897199387,667229.8801916864
Idle Mean,5780,4708172.108981375,16161133.040794792
Idle Std,8045,144361.3061907237,1653490.7198167557
Idle Max,4179,4843964.762051127,16416117.455404779
Idle Min,7903,4581511.824260154,16045601.930172313
