level,split,attack_class,support,f1,recall
raw,random,BFA,281,0.99644128113879,0.99644128113879
raw,random,BOTNET,33,1.0,1.0
raw,random,DDoS,24389,1.0,1.0
raw,random,DoS,10723,0.9999533734321816,1.0
raw,random,Normal,13685,0.9999634623113742,0.9999269272926562
raw,random,Probe,19626,0.9999490445859872,0.9998980943646184
raw,random,U2R,3,0.8571428571428571,1.0
raw,random,Web-Attack,38,0.961038961038961,0.9736842105263158
raw,ovs2meta,BFA,295,0.0,0.0
raw,ovs2meta,DDoS,73529,0.9950604667007324,0.993145561615145
raw,ovs2meta,DoS,1145,0.027475538160469666,0.6131004366812227
raw,ovs2meta,Normal,34212,0.8397952796494716,1.0
raw,ovs2meta,Probe,61757,0.014398431599415064,0.007254238385931959
raw,meta2ovs,BFA,1110,0.010412792859799182,0.012612612612612612
raw,meta2ovs,DDoS,48413,0.0,0.0
raw,meta2ovs,DoS,52471,0.0,0.0
raw,meta2ovs,Normal,34212,0.3334275521939999,0.9999123114696598
raw,meta2ovs,Probe,36372,0.0,0.0
no_id,random,BFA,281,0.985663082437276,0.9786476868327402
no_id,random,BOTNET,33,1.0,1.0
no_id,random,DDoS,24389,0.9999794985341451,0.9999589979088933
no_id,random,DoS,10723,0.9997203057989931,1.0
no_id,random,Normal,13685,0.9997807498355624,0.999634636463281
no_id,random,Probe,19626,0.9996942986701992,0.999745235911546
no_id,random,U2R,3,0.8571428571428571,1.0
no_id,random,Web-Attack,38,1.0,1.0
no_id,ovs2meta,BFA,295,0.0222713751811456,0.49491525423728816
no_id,ovs2meta,DDoS,73529,0.9964925210175783,0.9930095608535408
no_id,ovs2meta,DoS,1145,0.03688025821472036,0.6087336244541485
no_id,ovs2meta,Normal,34212,0.9959378594412008,0.9997077048988658
no_id,ovs2meta,Probe,61757,0.35265381568523896,0.21625078938419937
no_id,meta2ovs,BFA,1110,0.0,0.0
no_id,meta2ovs,DDoS,48413,0.9998244508927189,0.9999586887819387
no_id,meta2ovs,DoS,52471,0.0015614288978597,0.0007813840025919079
no_id,meta2ovs,Normal,34212,0.6862158908507223,0.9996784753887524
no_id,meta2ovs,Probe,36372,0.6264044943820225,0.7602551413174969
no_const,random,BFA,281,0.9946714031971581,0.99644128113879
no_const,random,BOTNET,33,0.9705882352941176,1.0
no_const,random,DDoS,24389,0.9999794985341451,0.9999589979088933
no_const,random,DoS,10723,0.9995804782547896,0.9999067425160869
no_const,random,Normal,13685,0.9995614355675755,0.999269272926562
no_const,random,Probe,19626,0.9998216605946345,0.9997961887292367
no_const,random,U2R,3,1.0,1.0
no_const,random,Web-Attack,38,0.9736842105263158,0.9736842105263158
no_const,ovs2meta,BFA,295,0.026137899954934655,0.4915254237288136
no_const,ovs2meta,DDoS,73529,0.9965130640681829,0.993050361082022
no_const,ovs2meta,DoS,1145,0.03262757735203041,0.5659388646288209
no_const,ovs2meta,Normal,34212,0.9949962180717985,0.9997077048988658
no_const,ovs2meta,Probe,61757,0.3521678875470204,0.216024094434639
no_const,meta2ovs,BFA,1110,0.0,0.0
no_const,meta2ovs,DDoS,48413,0.9998244508927189,0.9999586887819387
no_const,meta2ovs,DoS,52471,0.0015978087194704405,0.0008004421489965886
no_const,meta2ovs,Normal,34212,0.6482050115622275,0.9995907868584123
no_const,meta2ovs,Probe,36372,0.6127011998829383,0.7195095128120532
no_port,random,BFA,281,0.9059500959692899,0.8398576512455516
no_port,random,BOTNET,33,1.0,1.0
no_port,random,DDoS,24389,0.9999794985341451,0.9999589979088933
no_port,random,DoS,10723,0.9991609956185327,0.9995337125804346
no_port,random,Normal,13685,0.9997442174882157,0.999634636463281
no_port,random,Probe,19626,0.9983964977474611,0.9993376133700194
no_port,random,U2R,3,0.8571428571428571,1.0
no_port,random,Web-Attack,38,0.9866666666666667,0.9736842105263158
no_port,ovs2meta,BFA,295,0.022279871814436136,0.49491525423728816
no_port,ovs2meta,DDoS,73529,0.9965199115648116,0.9930639611581825
no_port,ovs2meta,DoS,1145,0.03031831831831832,0.5510917030567686
no_port,ovs2meta,Normal,34212,0.9930754155476519,0.9997661639190927
no_port,ovs2meta,Probe,61757,0.27353859883980364,0.15881600466343895
no_port,meta2ovs,BFA,1110,0.00477326968973747,0.002702702702702703
no_port,meta2ovs,DDoS,48413,0.9998244508927189,0.9999586887819387
no_port,meta2ovs,DoS,52471,0.00030486643039518313,0.00015246517123744546
no_port,meta2ovs,Normal,34212,0.5604726048161773,0.9997077048988658
no_port,meta2ovs,Probe,36372,0.702320387144807,0.7002639392939624
no_dup,random,BFA,281,0.8978805394990366,0.8291814946619217
no_dup,random,BOTNET,33,0.9705882352941176,1.0
no_dup,random,DDoS,24389,0.9999794985341451,0.9999589979088933
no_dup,random,DoS,10723,0.9990678598061148,0.9995337125804346
no_dup,random,Normal,13685,0.9997076450811285,0.9994884910485934
no_dup,random,Probe,19626,0.9983964977474611,0.9993376133700194
no_dup,random,U2R,3,0.6666666666666666,0.6666666666666666
no_dup,random,Web-Attack,38,0.987012987012987,1.0
no_dup,ovs2meta,BFA,295,0.024649251995969304,0.5389830508474577
no_dup,ovs2meta,DDoS,73529,0.996478825183224,0.9929823607012199
