level,split,DecisionTree,RandomForest,XGBoost
no_const,meta2ovs,0.4313197315091279,0.40607529373008155,0.452465694211471
no_const,ovs2meta,0.4920809312093448,0.4821511579460336,0.4804885293987934
no_const,random,0.9454788220628061,0.9678550599165998,0.9922358652460921
no_dup,meta2ovs,0.20246162221196845,0.4714613072664987,0.370233206695788
no_dup,ovs2meta,0.46766771685199177,0.47029795077820563,0.458765887049806
no_dup,random,0.873195306810665,0.9213931142354688,0.9399124912052071
no_expensive,meta2ovs,0.1996153560606082,0.46750899089950393,0.4629333453614616
no_expensive,ovs2meta,0.45551826201795703,0.4719313499979675,0.4633971061935198
no_expensive,random,0.9074964924116382,0.9231158572418006,0.9271387049798911
no_id,meta2ovs,0.2119698252499298,0.4218695170649186,0.4628012530046647
no_id,ovs2meta,0.45587198845026633,0.47041184618182186,0.4808471659079768
no_id,random,0.8557832765902373,0.9639289229187475,0.9802475990523791
no_port,meta2ovs,0.41939886793628534,0.48993493629666907,0.45353911579476724
no_port,ovs2meta,0.3823101369123814,0.4719204286514943,0.46314642321700433
no_port,random,0.8318077573034681,0.919393078945424,0.968380103645896
raw,meta2ovs,0.28645101292263747,0.288532172077366,0.06876806901075981
raw,ovs2meta,0.3503420525153417,0.44160669276894604,0.37534594322201775
raw,random,0.9519567217697016,0.9818948856577641,0.976811122456269
shap_top15,meta2ovs,0.27098878825806005,0.45792269098779786,0.47437091778958373
shap_top15,ovs2meta,0.547096790099473,0.48163701974600964,0.4599436533995739
shap_top15,random,0.8192419164032736,0.9482402363139477,0.9775481221319124
