level,split,model,n_features,n_classes,f1,accuracy,precision,recall,latency_ms_per_1k
raw,random,DecisionTree,83,8,0.9519567217697016,0.999636511675245,0.9300204278203672,0.9947700514176363,0.23703012606667712
raw,random,RandomForest,83,8,0.9818948856577641,0.9999418418680392,0.9687175565556758,0.9995372966765377,1.4437992532954398
raw,random,XGBoost,83,8,0.976811122456269,0.999927302335049,0.9618832476336217,0.9962438141652976,1.2568602343145532
raw,ovs2meta,DecisionTree,83,5,0.3503420525153417,0.6305795083597562,0.32622145300770244,0.4993175473398252,0.18958213434395144
raw,ovs2meta,RandomForest,83,5,0.44160669276894604,0.6851256010951339,0.5690071589168078,0.5596593899395782,0.6427683830607307
raw,ovs2meta,XGBoost,83,5,0.37534594322201775,0.6340720027144344,0.5368043327463762,0.5227000473364599,0.7534510583396105
raw,meta2ovs,DecisionTree,83,5,0.28645101292263747,0.47874004797830544,0.2551151633518038,0.3999724852701031,0.17912045460440473
raw,meta2ovs,RandomForest,83,5,0.288532172077366,0.4798236159881329,0.45514398601240635,0.4010089755038493,0.6721834929129786
raw,meta2ovs,XGBoost,83,5,0.06876806901075981,0.19830453476109353,0.04178754456527707,0.2025049848164545,0.6772145575999959
no_id,random,DecisionTree,79,8,0.8557832765902373,0.9974410421937248,0.9167361559168374,0.82664994020366,0.1862968542051165
no_id,random,RandomForest,79,8,0.9639289229187475,0.999054930355637,0.9569142497064145,0.9776367902304306,1.4044661826131204
no_id,random,XGBoost,79,8,0.9802475990523791,0.9997528279391666,0.9677238529940596,0.9972483196395575,1.5822907305768386
no_id,ovs2meta,DecisionTree,79,5,0.45587198845026633,0.708022791889457,0.5740433325682283,0.5374183198848439,0.20366838828501055
no_id,ovs2meta,RandomForest,79,5,0.47041184618182186,0.7128140027378348,0.5757147228797654,0.6593890413431873,0.7538556904244029
no_id,ovs2meta,XGBoost,79,5,0.4808471659079768,0.7102867706419872,0.5955385698459852,0.6625233867656085,1.0655786013790878
no_id,meta2ovs,DecisionTree,79,5,0.2119698252499298,0.3013477963587479,0.6076168705002792,0.30188374341555974,0.17008057800785972
no_id,meta2ovs,RandomForest,79,5,0.4218695170649186,0.5808793704875477,0.621858473739197,0.5040904436241598,0.7299716126445591
no_id,meta2ovs,XGBoost,79,5,0.4628012530046647,0.6391602637647904,0.5931677773134079,0.5521347378981559,0.9452184915492868
no_const,random,DecisionTree,67,8,0.9454788220628061,0.998618744365931,0.9242355015317869,0.9755438339199536,0.15467277370349294
no_const,random,RandomForest,67,8,0.9678550599165998,0.999054930355637,0.9640356086363433,0.9780724959996638,1.2449850691842343
no_const,random,XGBoost,67,8,0.9922358652460921,0.9997382884061764,0.988550560562738,0.9961320867182356,1.6780929202453019
no_const,ovs2meta,DecisionTree,67,5,0.4920809312093448,0.7265148767389346,0.5950884401350933,0.5529988094895548,0.157525928021084
no_const,ovs2meta,RandomForest,67,5,0.4821511579460336,0.7128783535550901,0.5985495483056862,0.6545353524340356,0.7834024613692845
no_const,ovs2meta,XGBoost,67,5,0.4804885293987934,0.7099299161099346,0.5945874437957072,0.6532492897546323,1.124795732647939
no_const,meta2ovs,DecisionTree,67,5,0.4313197315091279,0.5894957642341434,0.5774358010810295,0.4972129596124241,0.13988215697014206
no_const,meta2ovs,RandomForest,67,5,0.40607529373008155,0.5778430622674965,0.5623379528483847,0.4934433706865205,0.7107778804827418
