,attack
Protocol,0.0025465933
Flow Duration,0.008227482
Tot Fwd Pkts,0.0050099883
Tot Bwd Pkts,0.0059424047
TotLen Fwd Pkts,0.0015935882
TotLen Bwd Pkts,0.002782028
Fwd Pkt Len Max,0.0035588187
Fwd Pkt Len Min,0.0
Fwd Pkt Len Mean,0.00085833226
Fwd Pkt Len Std,0.0019016871
Bwd Pkt Len Max,0.009409512
Bwd Pkt Len Min,0.0018372198
Bwd Pkt Len Mean,0.0056513613
Bwd Pkt Len Std,0.0008389394
Flow Byts/s,0.02453482
Flow Pkts/s,0.021802152
Flow IAT Mean,0.011041428
Flow IAT Std,0.0015656069
Flow IAT Max,0.014134636
Flow IAT Min,0.0119230375
Fwd IAT Tot,0.0061229346
Fwd IAT Mean,0.0010744956
Fwd IAT Std,0.019945139
Fwd IAT Max,0.0030500882
Fwd IAT Min,0.0067210332
Bwd IAT Tot,0.0070391726
Bwd IAT Mean,0.010259819
Bwd IAT Std,0.0006241804
Bwd IAT Max,0.01743855
Bwd IAT Min,0.017059041
Bwd PSH Flags,0.000119321834
Bwd URG Flags,0.0
Fwd Header Len,0.038982276
Bwd Header Len,0.065806724
Fwd Pkts/s,0.051181946
Bwd Pkts/s,0.011814287
Pkt Len Min,0.009507912
Pkt Len Max,0.2549729
Pkt Len Mean,0.0038551968
Pkt Len Std,0.008593113
Pkt Len Var,0.0
FIN Flag Cnt,0.0422138
SYN Flag Cnt,0.024224255
RST Flag Cnt,0.0
PSH Flag Cnt,0.0
ACK Flag Cnt,0.06539874
URG Flag Cnt,0.0
Down/Up Ratio,0.00065952225
Pkt Size Avg,0.008813325
Fwd Seg Size Avg,0.0
Bwd Seg Size Avg,0.0
Subflow Fwd Pkts,0.0
Subflow Fwd Byts,0.0
Subflow Bwd Pkts,0.0
Subflow Bwd Byts,0.0
Init Bwd Win Byts,0.1756986
Fwd Act Data Pkts,1.0936611e-05
Active Mean,0.0014850085
Active Std,4.5619427e-06
Active Max,0.00016978114
Active Min,0.00030890736
Idle Mean,0.006924834
Idle Std,0.0
Idle Max,0.00016095693
Idle Min,0.0045990166
