,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Protocol,0.0,0.0,0.60169315,0.007835856,0.0010866156,0.0013620405,0.0,0.0
Flow Duration,0.0147260055,0.03657038,0.007771109,0.016085118,0.018111572,0.02410452,0.0037899816,0.004811417
Tot Fwd Pkts,0.0,0.0088389255,0.009011958,0.028886199,0.005042738,0.011417932,0.0,0.0
Tot Bwd Pkts,0.0065632425,0.033131946,8.613048e-06,0.045513038,0.004809044,0.001953796,0.0037705284,0.0
TotLen Fwd Pkts,0.0055533857,0.0,0.0,0.028085146,0.0020121464,0.02947803,0.048741095,0.0036856376
TotLen Bwd Pkts,0.038944032,0.0,0.0047463556,0.0037489578,0.0021700517,0.00453578,0.01041444,0.011390567
Fwd Pkt Len Max,0.0019391689,0.0,0.0,0.015451556,0.0016129153,0.001867715,0.0,0.025751522
Fwd Pkt Len Min,0.0,0.0,0.00023794634,0.0004593784,0.002046627,0.0,0.0,0.0
Fwd Pkt Len Mean,0.029276699,0.0,0.0,0.011248209,0.00014624196,0.0060913237,0.03992631,0.00529092
Fwd Pkt Len Std,0.00086589134,0.0,0.0,0.015818244,0.00024891898,0.019964376,0.02085884,0.102837384
Bwd Pkt Len Max,0.007826094,0.0,0.0062000905,0.0029084126,0.0011017425,0.0030022433,0.10031649,0.0650927
Bwd Pkt Len Min,0.0,0.005249069,0.0,0.0013452303,0.0,0.0014317345,0.0025576612,0.0
Bwd Pkt Len Mean,0.005752232,0.0,0.0,0.018204344,0.00023673908,0.00013776192,0.23920037,0.0
Bwd Pkt Len Std,0.053877354,0.0,0.012121472,0.010131731,0.002956534,0.0018258609,0.018571377,0.04391374
Flow Byts/s,0.0025101816,0.051646676,7.5254866e-05,0.0059765694,0.018175548,0.00618252,0.066517435,0.060674023
Flow Pkts/s,0.020326246,0.03178783,0.10262189,0.010826933,0.0073924996,0.019858696,0.03262856,0.024486672
Flow IAT Mean,0.024707923,0.074513376,0.0071695293,0.011242723,0.014127613,0.0065015354,0.0,0.12450207
Flow IAT Std,0.0157176,0.00096128095,0.0007111728,0.073759586,0.0077062105,0.010948226,0.0018528699,0.003415491
Flow IAT Max,0.028393626,0.0,0.0011642172,0.005776346,0.029911198,0.006518795,0.0,0.007550207
Flow IAT Min,0.030500269,0.258183,0.017814983,0.03390646,0.02231293,0.031696793,0.035147306,0.09477566
Fwd IAT Tot,0.006587524,0.00061179,0.0,0.007630406,0.0051611625,0.0017977325,0.018530855,0.0
Fwd IAT Mean,0.011669036,0.0032110387,0.0,0.0055987523,0.0031875463,0.0031296636,0.026754776,0.02829487
Fwd IAT Std,0.0040268945,0.029171454,0.0005210371,0.012923541,0.0047924235,0.006055694,0.0019624096,0.0002313268
Fwd IAT Max,0.009807297,0.008510994,0.0,0.0014879251,0.0052030245,0.006363597,0.0,0.012200595
Fwd IAT Min,0.023438344,0.0,0.009928209,0.004648554,0.006137753,0.007932801,0.009148933,0.022746373
Bwd IAT Tot,0.09607859,0.020958986,0.0013424241,0.0069267703,0.009533751,0.014474965,0.0054024584,0.0020545775
Bwd IAT Mean,0.030785402,0.0,0.008769993,0.0028146396,0.009927664,0.020667965,0.003933528,0.039709385
Bwd IAT Std,0.05844595,0.0007538398,0.0018188204,0.0029342882,0.00011580163,0.005358098,0.023376204,0.0010199868
Bwd IAT Max,0.033961825,0.055902567,0.00089671125,0.0015690816,0.023737159,0.028077321,0.0,0.009400046
Bwd IAT Min,0.020229885,0.0014119181,0.02922227,0.011529319,0.027434837,0.015549221,0.07818253,0.022893686
Bwd PSH Flags,0.0012483306,0.0018419541,0.0,0.005348882,0.0,0.008407861,0.0,0.0008986079
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Len,0.016642878,0.14262138,0.011165899,0.18201123,0.028399564,0.009185337,0.00736329,0.004545985
Bwd Header Len,0.027977118,0.010048422,0.080746464,0.113877624,0.04243069,0.27207926,0.0043565505,0.032879516
Fwd Pkts/s,0.008475717,0.02392629,0.010116993,0.041108713,0.04201286,0.008770217,0.052262783,0.06987438
Bwd Pkts/s,0.026068669,0.029171728,0.019704131,0.028371716,0.014289824,0.06507355,0.009677844,0.008458064
Pkt Len Min,0.0,0.0,0.0,0.0,0.008270931,0.0,0.0,0.0
Pkt Len Max,0.015727222,0.01962047,0.0,0.02397738,0.26268896,0.055976555,0.003686745,0.006343376
Pkt Len Mean,0.007527262,0.0,0.0,0.0028988963,0.02187546,0.04255221,0.022523085,0.0018827808
Pkt Len Std,0.02261029,0.0,0.004873892,0.0037908761,0.023187645,0.03182043,0.014765947,0.0014740299
Pkt Len Var,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN Flag Cnt,0.0,0.006734443,5.0847502e-05,0.03245344,0.018597662,0.0026352382,0.0,0.0
SYN Flag Cnt,0.005444956,0.0035491902,0.0,0.02627023,0.036370903,0.021765914,0.024632689,0.00023637277
RST Flag Cnt,0.00022268902,0.0,0.0,0.013663405,0.0,0.016398612,0.0,0.0
PSH Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK Flag Cnt,0.0,0.0,0.0,0.011843398,0.030483762,0.008645407,0.036732264,0.0
URG Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,0.0021772475,0.0,0.0026907865,0.0048017986,0.0010553829,0.006785425,0.0,0.0037565203
Pkt Size Avg,0.021642717,0.007095152,0.0,0.0036926507,0.0016216912,0.015776044,0.0,0.0013866662
Fwd Seg Size Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Seg Size Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Pkts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Byts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Bwd Pkts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Bwd Byts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Init Bwd Win Byts,0.25217044,0.13397582,0.031308025,0.093913965,0.22461142,0.1287128,0.022374954,0.15067141
Fwd Act Data Pkts,0.009553766,0.0,0.0,0.0025775412,9.534306e-05,0.002645171,0.010038914,0.00086350646
Active Mean,0.0,0.0,0.001984356,0.0,0.0026905772,0.00013459088,0.0,0.0
Active Std,0.0,0.0,0.0,0.0001247547,8.962106e-05,0.0,0.0,0.0
Active Max,0.0,0.0,0.0,0.0,0.00064120855,0.0,0.0,0.0
Active Min,0.0,0.0,0.0012573254,1.21480625e-05,0.00044200112,0.0,0.0,0.0
Idle Mean,0.0,0.0,5.95809e-06,0.0006443548,0.0003671702,0.0021459684,0.0,0.0
Idle Std,0.0,0.0,0.0,6.974827e-05,0.0,0.0,0.0,0.0
Idle Max,0.0,0.0,0.0,0.002678619,0.0010407042,0.0,0.0,0.0
Idle Min,0.0,0.0,0.01224803,0.000595263,0.002297523,0.002202751,0.0,0.0
