,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Src Port,0.14736757,0.020088097,0.018067528,0.05001759,0.033937998,0.065039836,0.017966872,0.03573543
Dst Port,0.2309894,0.12301057,0.012875221,0.20333508,0.03977385,0.1261904,0.07714329,0.0019097612
Protocol,0.0,0.0,0.48877278,0.0,0.00582818,0.00010010288,0.0,0.0
Flow Duration,0.015404157,0.1945826,0.017492054,0.010174045,0.025832376,0.015536903,0.026445005,0.0072297654
Tot Fwd Pkts,0.0066374345,0.06990106,0.02162496,0.0158742,0.015132027,0.004532581,0.005574975,0.00089064596
Tot Bwd Pkts,0.0021145542,0.0055615534,0.00034089794,0.014399594,0.003235867,0.005814996,0.004181201,0.0030824128
TotLen Fwd Pkts,0.012186728,0.019955894,0.0,0.004315706,0.0026277083,0.033727378,0.029553209,0.030798888
TotLen Bwd Pkts,0.03218781,0.00021089785,0.0020980625,0.004975676,0.006012009,0.008257017,0.008256033,0.0072924164
Fwd Pkt Len Max,0.004281033,0.001926738,0.0,0.007677088,0.0082092825,0.015921675,0.0,0.0069167493
Fwd Pkt Len Min,0.0,0.0,0.0,0.00078740646,0.0004253408,0.00046247515,0.0022196039,0.0
Fwd Pkt Len Mean,0.0048818896,0.00087265053,0.0007668186,0.011902416,0.0045635127,0.0012964217,0.0051677534,0.10221088
Fwd Pkt Len Std,0.0077797123,0.003869694,0.00016024904,0.006557469,0.000645044,0.012633914,0.0044195224,0.053353556
Bwd Pkt Len Max,0.0011575066,0.0023688653,3.5750138e-05,0.0050624,0.007548351,0.0004421946,0.030221319,0.0038385084
Bwd Pkt Len Min,0.0,0.0,7.663539e-06,0.0009062892,0.0028205495,0.0,0.0014058144,0.0
Bwd Pkt Len Mean,0.0052758115,0.0055365153,0.0009001502,0.0051072887,0.0048853275,0.0074231867,0.05868809,0.016593011
Bwd Pkt Len Std,0.035483707,0.0014459597,0.0035045105,0.005763941,0.00063894823,0.0010678301,0.03462595,0.0034528573
Flow Byts/s,0.0112205325,0.011146329,0.0010179898,0.0017044626,0.0058288663,0.002587418,0.043706663,0.015709728
Flow Pkts/s,0.005103604,0.23908865,0.08308307,0.0032358677,0.0059849834,0.005695642,0.070805684,0.06035546
Flow IAT Mean,0.011908015,0.00021037187,0.012122336,0.004446854,0.015648413,0.012985676,0.005746754,0.026635291
Flow IAT Std,0.019723026,1.7013932e-05,0.00093761436,0.025327865,0.0100285085,0.0060610576,0.0,0.0011815593
Flow IAT Max,0.014708739,0.003703041,0.002804255,0.005595014,0.009953466,0.006541588,0.0,0.0112624755
Flow IAT Min,0.011574508,0.09057272,0.015367785,0.024071107,0.013226784,0.04270785,0.05000743,0.050492212
Fwd IAT Tot,0.0034714972,0.0014650923,0.0003383826,0.010808474,0.0017928879,0.0015038158,0.028149212,0.011197124
Fwd IAT Mean,0.0067207753,0.00056298886,0.00039296362,0.0015411926,0.005054295,0.0029357257,0.029390063,0.04235137
Fwd IAT Std,0.004281529,0.0009136818,0.0004938046,0.004002663,0.004899651,0.0042620515,0.015333045,0.03227365
Fwd IAT Max,0.0035515123,0.0,4.243701e-05,0.0013271844,0.004527472,0.0009725492,0.0057979818,0.008114326
Fwd IAT Min,0.015580818,0.00015269815,0.0063628666,0.023786055,0.007457527,0.008837573,0.07827617,0.014760197
Bwd IAT Tot,0.025088055,0.00011315584,0.0010238728,0.0031174982,0.0048623607,0.015878292,0.0026452711,0.0155258
