,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Protocol,0.0,9.312624e-05,0.5309188,0.0036585256,0.0034781953,0.016617415,0.0,0.0058892514
Flow Duration,0.015471657,0.09590848,0.018521199,0.068075985,0.014280768,0.012437515,0.043332554,0.009591272
Tot Fwd Pkts,0.022781195,0.06440472,0.017546713,0.011601951,0.028012954,0.013876454,0.0,0.0012536739
Tot Bwd Pkts,0.009371974,0.0004646431,0.00010020623,0.025706457,0.0067704422,0.016307073,0.0021926146,0.02167227
TotLen Fwd Pkts,0.024225425,0.0,0.0,0.012744041,0.0017205821,0.023689063,0.049737938,0.0050243875
TotLen Bwd Pkts,0.0049291956,0.020781724,0.006342009,0.003280039,0.002216341,0.012504291,0.04032464,0.010894543
Fwd Pkt Len Max,0.0022208453,0.0,0.0001696748,0.011955857,0.0043526823,0.007627059,0.0032955897,0.025145441
Fwd Pkt Len Min,0.0,0.0,0.0,0.00016428741,0.0016682127,9.4062576e-05,0.0011835935,0.0
Fwd Pkt Len Mean,0.019577073,0.0018749088,2.800997e-06,0.019787606,0.0015695175,0.004997834,0.007345349,0.012454998
Fwd Pkt Len Std,0.00152803,0.0010774478,0.0,0.016315177,0.02912695,0.01772869,0.022367615,0.04481531
Bwd Pkt Len Max,0.009396715,0.0026715533,0.00599144,0.005685589,0.00045106045,0.0026691959,0.046790224,0.002117784
Bwd Pkt Len Min,0.0,0.0011361463,0.0,0.0018966486,0.002308905,0.0,0.0,0.0
Bwd Pkt Len Mean,0.002012907,0.018908726,8.705084e-05,0.010104731,0.0023074914,0.00036907967,0.11779342,0.040566072
Bwd Pkt Len Std,0.021328038,0.006844218,0.010947288,0.013078708,0.0015971194,0.0021015727,0.023412954,0.03743566
Flow Byts/s,0.009673349,0.016719764,0.0007987424,0.0041457345,0.016513431,0.009585801,0.034585964,0.016937833
Flow Pkts/s,0.016323956,0.009714195,0.07273689,0.019500325,0.011369721,0.033094995,0.023814758,0.036748026
Flow IAT Mean,0.05270288,0.2113154,0.012741879,0.010115044,0.0061505623,0.028234279,0.0,0.08725639
Flow IAT Std,0.024894148,0.014245369,0.0009525863,0.05746193,0.006728426,0.016699282,0.020123795,0.0025765202
Flow IAT Max,0.035253108,0.0324237,0.0022119149,0.008515844,0.033522915,0.014601247,0.0,0.020766204
Flow IAT Min,0.030415662,0.17292376,0.012021352,0.027583534,0.015345814,0.03598555,0.021574443,0.0923281
Fwd IAT Tot,0.0065734014,0.13512608,0.00088057836,0.008645324,0.005672475,0.0013839274,0.026455784,0.0026092634
Fwd IAT Mean,0.018445669,0.00071467983,0.0001314215,0.003957166,0.002454257,0.0033486031,0.032218866,0.013532706
Fwd IAT Std,0.0045006033,0.0038207478,0.0003684005,0.02383464,0.028244216,0.00736548,0.015106444,0.019501617
Fwd IAT Max,0.004068601,0.000117589145,0.000104895174,0.0017612175,0.002084841,0.0035008707,0.008880172,0.004803761
Fwd IAT Min,0.023805367,2.6144506e-05,0.009856129,0.020985546,0.006998811,0.008255884,0.035266235,0.009042978
Bwd IAT Tot,0.043052677,0.00028458494,0.0021926963,0.0131089585,0.013681217,0.026239833,0.0034237986,0.0070957355
Bwd IAT Mean,0.032854322,0.0,0.0017366956,0.0020869721,0.004984824,0.0060329367,0.029288052,0.015827794
Bwd IAT Std,0.03207657,0.0002498815,0.00043782324,0.015047436,0.00046201242,0.008956718,0.02649225,0.0033877413
Bwd IAT Max,0.023350133,0.0,0.0010698299,0.004828419,0.02338043,0.01795898,0.0016218426,0.010892053
Bwd IAT Min,0.019366965,0.004640969,0.036320545,0.018561812,0.028685044,0.007502142,0.07184749,0.021209914
Fwd Header Len,0.007228292,0.0105009945,0.019989802,0.195051,0.02822263,0.008480905,0.0,0.009808332
Bwd Header Len,0.19900991,0.020939374,0.16525349,0.09813057,0.03764296,0.2277839,0.03667602,0.07447209
Fwd Pkts/s,0.023708258,0.016356196,0.009495766,0.026739469,0.016562575,0.011277522,0.07681406,0.12650001
Bwd Pkts/s,0.04664165,0.028252361,0.020045666,0.025440192,0.011987563,0.03328335,0.0,0.0029097078
Pkt Len Min,0.0,0.0016166609,0.0,1.8174089e-05,0.035129044,0.0,0.0016193861,0.0
Pkt Len Max,0.012563957,0.002716744,0.0012150332,0.032513212,0.20212418,0.019126747,0.0,0.0057287063
Pkt Len Mean,0.02094228,0.009923526,3.9482264e-05,0.010012064,0.01147044,0.026209818,0.038653117,0.0018135972
Pkt Len Std,0.010308862,0.00313797,0.0,0.0030736134,0.022745736,0.015098869,0.019596662,0.00186395
Pkt Len Var,0.0042386674,0.0004181777,0.0021649858,0.0003735422,0.005982421,0.0048516025,0.015586767,0.0
FIN Flag Cnt,0.0018858581,0.0,6.452607e-05,0.023203945,0.035417292,0.004148253,0.0,0.0012510393
SYN Flag Cnt,0.0008287969,0.0,5.059098e-05,0.021434784,0.039812297,0.0058977427,0.048250265,0.0066985157
RST Flag Cnt,0.0,0.0,4.9092682e-06,0.004772227,5.7613215e-05,0.006933262,0.0,3.6912254e-05
PSH Flag Cnt,0.011225682,9.244107e-05,0.0,0.007361502,0.00034356184,0.0067216177,0.0,0.0011678026
ACK Flag Cnt,0.0008094988,0.0,0.0,0.029291784,0.021359634,0.020570546,0.019475933,0.0
URG Flag Cnt,0.0,0.0,0.0,0.0,0.0001622785,0.00040714076,0.0,0.0
Down/Up Ratio,0.04470289,0.0,0.0035559256,0.0062457724,0.003979906,0.002187304,0.009257829,0.0008678011
Pkt Size Avg,0.0048324503,0.009592987,0.0010304945,0.002621396,0.025069728,0.066321015,0.0058199205,0.030264005
Init Bwd Win Byts,0.10038418,0.049124897,0.022905136,0.06206787,0.19084165,0.17541382,0.017931916,0.15336326
Fwd Act Data Pkts,0.00048827313,0.030803405,1.2352263e-06,0.0030720872,0.00090154464,0.0013702507,0.0018416862,0.0
Active Mean,0.0,0.0,0.0022143289,6.3401545e-05,0.0012326548,0.00013168043,0.0,0.0
Active Std,0.0,3.5703088e-05,0.0,0.000100843645,0.00094042864,3.0941983e-06,0.0,0.00051340304
Active Max,0.0,0.0,0.0,0.00016327793,0.00017787618,0.0,0.0,0.0
Active Min,0.0,0.0,0.0025312728,0.00018554358,0.00022797816,0.00046872842,0.0,0.0013635095
Idle Mean,0.0,0.0,0.0006602945,0.0010388388,0.0003183218,0.0018124975,0.0,0.0
Idle Std,0.0,0.0,0.00014837616,0.00012329777,3.7486883e-05,0.0,0.0,0.0
Idle Max,0.0,0.0,0.0,0.0022376012,2.8398594e-05,0.00014863821,0.0,0.0
