,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Protocol,0.0,0.0,0.47742775,0.013074101,0.0010877793,0.015730914,0.0,0.00018390293
Flow Duration,0.01055266,0.0073305327,0.023063313,0.047965232,0.008587337,0.011205393,0.0066791633,0.009777404
Tot Fwd Pkts,0.0009464281,0.08660594,0.024992688,0.019802282,0.02202496,0.01506152,0.028959334,0.008340857
Tot Bwd Pkts,0.004301691,0.012108934,7.05133e-05,0.025347622,0.010010064,0.015151233,0.0055501796,0.009292206
TotLen Fwd Pkts,0.0025593804,0.002213113,5.4666984e-06,0.01716809,0.0020773297,0.026000967,0.01998873,0.00198705
TotLen Bwd Pkts,0.03053907,0.0001173059,0.0011147077,0.0034958925,0.0025613506,0.0038472756,0.022745546,0.019728612
Fwd Pkt Len Max,0.0018356771,0.00022609666,1.9703004e-05,0.014936665,0.0112042185,0.0008936357,0.0,0.0469705
Fwd Pkt Len Min,0.0,0.0,0.0,3.90723e-05,0.0008249479,4.0839586e-05,0.0,0.0
Fwd Pkt Len Mean,0.05391043,0.0013327562,7.758317e-06,0.019875271,0.0011659521,0.0018176615,0.0621718,0.0032415597
Fwd Pkt Len Std,0.0030746325,0.0061934604,9.9474155e-06,0.01930226,0.0016984425,0.015181132,0.011808211,0.06845177
Bwd Pkt Len Max,0.0314903,1.6168715e-05,0.0023957063,0.0029950147,0.00068378996,0.0020983955,0.03260562,0.022549212
Bwd Pkt Len Min,0.0,0.0,5.2576656e-06,0.0007439139,0.001803514,3.5569865e-05,0.0,0.019236185
Bwd Pkt Len Mean,0.035424918,0.0018237282,0.0016468089,0.010769674,0.0018107009,0.0027903325,0.16733463,0.02727514
Bwd Pkt Len Std,0.034053184,0.017481359,0.01408067,0.0112355165,0.0012139854,0.0038384022,0.025172014,0.045991153
Flow Byts/s,0.011872734,0.013504143,0.0021923059,0.001936551,0.014449176,0.007491634,0.0027404167,0.066451736
Flow Pkts/s,0.031282388,0.22427803,0.07654155,0.011109464,0.01084668,0.023797639,0.014847857,0.078707896
Flow IAT Mean,0.018840438,0.06943255,0.02370455,0.016617289,0.010888219,0.008563983,0.0039774114,0.010485012
Flow IAT Std,0.0067460616,0.032315943,0.0006668022,0.07295896,0.006742962,0.023219647,0.0,0.0068919053
Flow IAT Max,0.021850867,0.009101032,0.0013828991,0.009962911,0.04348773,0.010155125,0.009697474,0.01254093
Flow IAT Min,0.019042205,0.11164085,0.008299379,0.031795584,0.013661574,0.033649087,0.06474154,0.043560393
Fwd IAT Tot,0.009192,0.02573373,6.518301e-05,0.008865833,0.0030222505,0.0028390426,0.016867178,0.0017790805
Fwd IAT Mean,0.012174941,0.1116275,1.3944009e-05,0.00797654,0.0032406235,0.0055699353,0.0046808617,0.025638148
Fwd IAT Std,0.006898213,0.001888932,0.0007850693,0.018642131,0.0037317881,0.004774822,0.0,0.0024751446
Fwd IAT Max,0.0066075725,0.0030114737,1.6000078e-05,0.0006849771,0.0061213784,0.0037453684,0.0343321,0.0096369935
Fwd IAT Min,0.025249412,5.2230258e-05,0.009675562,0.0047826394,0.017044017,0.008967355,0.010665859,0.017381666
Bwd IAT Tot,0.07002841,0.0035935172,0.000762772,0.0097496435,0.010237626,0.0092999535,0.016399689,0.020874301
Bwd IAT Mean,0.03261064,0.003614927,0.000937079,0.002099404,0.012990241,0.026130674,0.04618933,0.03882508
Bwd IAT Std,0.03984564,0.000626241,0.0,0.0077499584,0.0020917905,0.008222487,0.021409554,0.0045780186
Bwd IAT Max,0.040483736,0.00090674247,0.00079086324,0.0016470978,0.025917508,0.013331618,0.0007180078,0.003255072
Bwd IAT Min,0.01374858,0.1424028,0.034240983,0.023124648,0.03602787,0.0052008987,0.11990505,0.045987923
Fwd Header Len,0.0042732316,0.0036335194,0.021260113,0.19818191,0.033540927,0.009740794,0.007988196,0.0028363226
Bwd Header Len,0.13762519,0.0034002094,0.19049534,0.09532545,0.042411838,0.2660275,0.008365658,0.026340447
Fwd Pkts/s,0.0099950535,0.0076311035,0.015900439,0.018003423,0.012343882,0.009228779,0.07030707,0.05577346
Bwd Pkts/s,0.026839156,0.026500033,0.03198888,0.01756261,0.008228792,0.023659471,0.0,0.0056325723
Pkt Len Min,0.0,0.0,0.0,5.6161458e-05,0.012824324,5.5994962e-05,0.00375364,0.0
Pkt Len Max,0.0021223086,0.00024046891,2.2318443e-05,0.010376304,0.19926293,0.023944529,0.0,0.005213176
Pkt Len Mean,0.006782731,0.001549723,4.5567067e-05,0.0028474673,0.005002515,0.058006663,0.05241995,0.00045668852
Pkt Len Std,0.0063821673,0.0003898161,0.0025808273,0.0027261793,0.028511308,0.017516425,0.0037919027,0.0013968484
Pkt Len Var,0.0022115444,0.0,0.0022048948,0.0012558411,0.0080385255,0.003446188,0.0030836207,0.0
FIN Flag Cnt,0.0022341115,0.0,1.6656853e-05,0.030580776,0.045826357,0.0069361064,0.0,0.0015832685
SYN Flag Cnt,0.0013845672,0.0,0.00056387787,0.03070847,0.035287555,0.010665843,0.056995567,0.021464877
RST Flag Cnt,0.0,0.0,1.9988508e-06,0.0022175808,1.4259427e-05,0.004976669,0.0,0.010142185
PSH Flag Cnt,0.0,0.0,3.940291e-06,0.007483036,0.00023000839,0.008625286,0.0,1.5122308e-05
ACK Flag Cnt,0.004872767,0.0,0.0007660673,0.029375048,0.030581519,0.014778076,0.027995791,0.00083122856
URG Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.000721612,0.0,0.0
Down/Up Ratio,0.002198185,0.00033791596,0.0021611417,0.009652266,0.0015634177,0.0071783997,0.0014637938,0.0029302454
Pkt Size Avg,0.006514102,0.0,0.0002906842,0.0025435057,0.040337183,0.057725027,0.0022520267,0.0020267165
Init Bwd Win Byts,0.21112406,0.06501674,0.026781222,0.10106087,0.20829695,0.16465749,0.011395192,0.19076721
Fwd Act Data Pkts,0.00027868108,0.0021204057,7.879924e-07,0.0035888308,0.0004418068,0.00345656,0.0,0.00049467647
