,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Src Port,0.099456884,0.0126846945,0.032602247,0.046458546,0.027882276,0.068861715,0.010583879,0.13739745
Dst Port,0.14255394,0.07226807,0.022859871,0.18761885,0.039362263,0.09170707,0.07615006,0.0058764713
Protocol,0.0,0.0,0.42654693,6.918517e-05,0.003995332,0.0006779055,0.0,0.0
Flow Duration,0.022914639,0.014594922,0.008902759,0.006795547,0.03300035,0.012464258,0.00331504,0.012010359
Tot Fwd Pkts,0.024664953,0.031110594,0.033355623,0.008409518,0.009174956,0.0037238582,0.0,0.0067597884
Tot Bwd Pkts,0.011293837,0.000506186,0.00023488095,0.021014296,0.009219316,0.008004351,0.0,0.00055988977
TotLen Fwd Pkts,0.0006737287,0.007180955,0.0,0.008495942,0.0009732744,0.033542585,0.025971437,0.016077396
TotLen Bwd Pkts,0.0019236398,0.0016105279,0.001077075,0.0022007355,0.0011185692,0.0030379947,0.014838807,0.008235387
Fwd Pkt Len Max,0.0010336011,0.0017962327,0.0,0.004989953,0.003779714,0.007913003,0.0,0.028567027
Fwd Pkt Len Min,0.0,0.0,0.0,1.9816558e-05,0.00033891876,0.0,0.0,0.0
Fwd Pkt Len Mean,0.0016736797,2.8197539e-05,0.0,0.011898953,0.0017270213,0.004232789,0.008129212,0.051643245
Fwd Pkt Len Std,0.0010795126,0.004165693,0.0,0.011593317,7.599092e-05,0.016144065,0.0026076385,0.040291216
Bwd Pkt Len Max,0.010225878,0.0,0.00089989085,0.0035358404,0.005907465,0.00070627354,0.042265464,0.006577407
Bwd Pkt Len Min,0.0,0.0,0.0,4.7183854e-05,0.0038901423,0.0,0.001746765,0.021043478
Bwd Pkt Len Mean,0.0005459589,0.005125029,3.0294148e-05,0.005311946,0.0049745315,0.004400298,0.12571034,0.00091696385
Bwd Pkt Len Std,0.026906027,0.00026455524,0.0032875373,0.010685918,0.0005451989,0.0015855243,0.0075619835,0.031338405
Flow Byts/s,0.0025930023,0.04553854,0.00041612604,0.007928388,0.012984578,0.0063623944,0.09100781,0.024716383
Flow Pkts/s,0.027100017,0.006858933,0.07077823,0.004999652,0.008759235,0.006632482,0.025186261,0.018004792
Flow IAT Mean,0.019693658,0.06730734,0.013049657,0.00265935,0.012807646,0.022940781,0.0068913125,0.014034722
Flow IAT Std,0.004210554,0.022915307,0.0010756701,0.08031456,0.013388772,0.02364701,0.023966165,0.0064837974
Flow IAT Max,0.08745452,0.024851726,0.0061639226,0.006122832,0.008155455,0.008836476,0.0020452084,0.002288312
Flow IAT Min,0.031426445,0.23364511,0.01816445,0.018538147,0.012653268,0.025355496,0.03682762,0.048974432
Fwd IAT Tot,0.008161361,0.013900168,0.00035474444,0.012061451,0.0017643059,0.004818418,0.035514627,0.0077161705
Fwd IAT Mean,0.010814403,0.0012816825,9.426554e-05,0.0021918954,0.0012845608,0.0059963106,0.0147672435,0.0055956165
Fwd IAT Std,0.0037492572,0.001619332,0.0007649721,0.009864105,0.008688284,0.0017949935,0.0,0.0006992859
Fwd IAT Max,0.0028458391,0.005898134,0.00010321947,0.002346167,0.0043703075,0.0006403207,0.0,0.031917106
Fwd IAT Min,0.017481633,0.0038492447,0.009748431,0.0062300246,0.0123982085,0.004766123,0.030928388,0.005299805
Bwd IAT Tot,0.02034958,0.009321166,0.0010984776,0.0056953835,0.011744345,0.008051306,0.0,0.002524556
Bwd IAT Mean,0.020544246,0.00083439786,0.0010733424,0.004307736,0.0022900142,0.008693009,0.0059730355,0.025384273
Bwd IAT Std,0.00386508,0.002619192,0.00013528543,0.0047280495,0.0007389953,0.007506275,0.034735613,0.0010729167
Bwd IAT Max,0.0061504366,0.007908173,0.00041189388,0.0019694536,0.0099042775,0.0071876133,0.005359087,0.014895555
Bwd IAT Min,0.0090587335,0.008271609,0.011026963,0.020976564,0.024970494,0.016369011,0.020173393,0.005506133
Fwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,0.01669909,0.0,2.7534675e-06,0.00393434,0.00015629595,0.005245736,0.0,0.0
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0001180739,0.0,0.0
Fwd Header Len,0.016079484,0.16391465,0.03177236,0.15961705,0.015548185,0.020920055,0.018281799,0.0025913375
