,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Protocol,0.0,0.0,0.4477108,0.0140790725,0.0034019519,0.017354967,0.0,0.0
Flow Duration,0.024631565,0.03233569,0.011258495,0.055573255,0.0162263,0.02903765,0.025790988,0.0048978142
Tot Fwd Pkts,0.02822927,0.062005665,0.019297104,0.017672624,0.010310488,0.012758766,0.012734137,0.015861327
Tot Bwd Pkts,0.033775266,0.02011954,5.338646e-06,0.025577907,0.0025998107,0.0044007367,0.0,0.00038394067
TotLen Fwd Pkts,0.0076537905,0.011222286,1.7375326e-06,0.016854277,0.0031348595,0.017206762,0.03727706,0.026720999
TotLen Bwd Pkts,0.004035544,0.0,0.0020126759,0.017134741,0.002497888,0.0021877505,0.02012383,0.037696827
Fwd Pkt Len Max,0.003202055,0.0038162651,0.0,0.024423286,0.008845026,0.003531117,0.004324381,0.02298115
Fwd Pkt Len Min,0.0,0.0,0.0,0.0018100175,0.0024769981,0.0,0.0018378824,0.0
Fwd Pkt Len Mean,0.0031620786,7.315787e-05,0.0,0.013367212,0.0015781797,0.0050036605,0.044237424,0.019448018
Fwd Pkt Len Std,0.0017701628,0.0062454226,0.0,0.013167508,0.0011556653,0.01866902,0.019503282,0.079479456
Bwd Pkt Len Max,0.030560227,0.00031829183,1.2092381e-05,0.0026753393,0.002592596,0.002367204,0.03366641,0.0028374486
Bwd Pkt Len Min,0.0,0.0,0.00021995754,0.0011313402,0.00033016337,0.00082602614,0.0,0.0
Bwd Pkt Len Mean,0.010892319,0.0020714283,0.0026004787,0.0075019314,0.0034055423,0.00071591773,0.081244655,0.0025124415
Bwd Pkt Len Std,0.0014016372,0.008069808,0.020158248,0.013318566,0.013644252,0.00050922466,0.013089114,0.023856515
Flow Byts/s,0.005901781,0.012779728,0.0024022125,0.0028291533,0.014746829,0.0068263477,0.016724799,0.018300762
Flow Pkts/s,0.017306305,0.002886689,0.07067333,0.013479041,0.004241498,0.02782087,0.021579824,0.049187098
Flow IAT Mean,0.06742833,0.059820846,0.021999981,0.009414956,0.01574907,0.012281487,0.018168356,0.05719633
Flow IAT Std,0.008794426,0.051812597,0.0011159688,0.08678884,0.008177974,0.014067499,0.004131422,0.024423366
Flow IAT Max,0.071037784,0.020721639,0.0026143063,0.010333674,0.041769594,0.010023326,0.0,0.011885005
Flow IAT Min,0.023154877,0.24967586,0.030098889,0.039631728,0.022707598,0.042242583,0.06718592,0.027966945
Fwd IAT Tot,0.008026299,0.0001830306,0.00038356718,0.0071739433,0.0020412365,0.004308886,0.013201651,0.002728362
Fwd IAT Mean,0.020143295,0.0018910826,7.729507e-05,0.003881165,0.004846589,0.006844444,0.010287036,0.008118437
