,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Flow ID,0.05148631,0.37752137,0.018713366,0.25104022,0.054658227,0.05576568,0.17219192,0.02999833
Src IP,0.009925112,0.0050251763,0.013606395,0.008121158,0.08399576,0.06315878,0.013961965,0.002815404
Src Port,0.05619298,0.009581665,0.043022644,0.014034368,0.0033352603,0.022358619,0.0,0.067991614
Dst IP,0.17153503,0.0,0.03190529,0.019986821,0.015332192,0.009008708,0.0012940806,0.20599899
Dst Port,0.11285772,0.020206502,0.021707749,0.01684309,0.0060292417,0.09197222,0.04825618,0.02243759
Protocol,0.0,0.0,0.5034798,2.0989643e-05,0.0097518135,1.5748921e-05,0.0,0.0
Timestamp,0.30772555,0.0010528839,0.056428146,0.28858507,0.47010913,0.35449126,0.035087205,0.06834025
Flow Duration,0.00092032907,0.017413773,0.0078081675,0.009267637,0.00024085336,0.0020994616,0.0,0.03195801
Tot Fwd Pkts,0.0011785097,0.0079757655,0.015119282,0.0013878929,0.014285731,0.006779382,0.008753646,0.0
Tot Bwd Pkts,0.0,0.0011186408,0.00022425182,0.0032501733,0.0009873876,0.00553666,0.0,0.000448522
TotLen Fwd Pkts,0.0012000663,0.0,0.0,0.001322126,1.4676352e-05,0.005148866,0.084601186,0.0038211902
TotLen Bwd Pkts,0.00066368154,0.0020759439,0.0,0.00022941851,0.0033457067,0.0006946732,0.0,0.00041802705
Fwd Pkt Len Max,0.027356748,0.0026277346,0.0,0.0006140013,0.0070032245,1.6895735e-06,0.00021046653,0.0010974464
Fwd Pkt Len Min,0.0,0.0,0.0,0.00014804873,0.00037589052,0.0008418779,0.005660946,0.0
Fwd Pkt Len Mean,0.0,0.0,0.0,0.00085811,2.0355467e-06,0.001824578,0.0041486574,0.0066616964
Fwd Pkt Len Std,0.003557333,0.0,3.090616e-05,0.0028600304,0.00022204254,6.517715e-05,0.0024438777,0.0007900332
Bwd Pkt Len Max,0.0,0.0,0.0014108532,0.0003403007,0.001025967,5.938468e-05,0.0,0.0
Bwd Pkt Len Min,0.0,0.0,0.0,0.0,0.0057939584,0.0,0.0028627706,0.0
Bwd Pkt Len Mean,0.00040262684,0.0,2.0426387e-05,0.0014384196,0.0,0.0012753233,0.0,0.0063911816
Bwd Pkt Len Std,0.0,0.0,0.00012391324,0.003176375,0.00043459542,0.004142208,0.0,0.0009044163
