,n_features,f1,precision,recall,latency_ms_per_1k,f1_เทียบ_full_%
attack7_intersection,2.0,0.7636763857033465,0.9629357604629564,0.6959228767850301,1.0717718230459907,79.8572305500283
normal8_intersection,2.0,0.7636763857033465,0.9629357604629564,0.6959228767850301,1.0854728877143562,79.8572305500283
attack7_mean,15.0,0.9377112041084423,0.9301105784422281,0.9623311092550653,0.8689314804164803,98.05595827984808
normal8_mean,15.0,0.9452074084767972,0.9913850264880665,0.9116811346696551,1.0667273140585654,98.83983235491525
binary_topk,15.0,0.9353792038139229,0.9301697489651948,0.9574997975057179,0.9797698082680767,97.81210225830743
binary_dynamic,21.0,0.9725203971603313,0.9885391871088459,0.9590516077273545,0.991026533643603,101.69593694992962
attack7_union,37.0,0.906100097351475,0.9041158544643665,0.9197838586759685,0.8963744553809846,94.75040178040527
normal8_union,39.0,0.9566767860445529,0.9529748475960735,0.9674574317360333,0.9056852426452744,100.03917902300692
attack7_dynamic,40.0,0.942137974433607,0.9327188789469049,0.967925852651672,0.9553905723469514,98.51886328132082
normal8_dynamic,41.0,0.9055971629713906,0.9035549839740306,0.9193299957082415,1.0403196965180193,94.69781020170281
all_features,65.0,0.9563021162184241,0.953528204235454,0.9664394194683349,0.9759951355422447,100.0
