,BFA,BOTNET,DDoS,DoS,Probe,U2R,Web-Attack
Protocol,0.0019893905,0.0,0.5337145,8.232754e-06,0.11710174,0.0,0.0
Flow Duration,0.038367737,0.13239768,0.02587019,0.035591118,0.032675296,0.012243305,0.0031243556
Tot Fwd Pkts,0.0012317416,0.0,5.063785e-06,0.00036960127,0.021000164,0.010696264,0.014848866
Tot Bwd Pkts,0.0017954103,0.0,0.0,0.016825622,0.0058891266,0.0,0.050819296
TotLen Fwd Pkts,0.00045387683,0.00830449,0.0,0.019826392,0.035327073,0.106834196,0.00089907006
TotLen Bwd Pkts,0.0077268155,0.0,0.0012820585,0.011680921,0.0065053445,0.01584437,0.03757447
Fwd Pkt Len Max,0.0025832849,0.0073961173,0.0,0.008422836,0.002277272,0.001929848,0.098524466
Fwd Pkt Len Min,0.0,0.0,0.0,2.2683567e-05,0.0,0.0,0.0
Fwd Pkt Len Mean,0.03987368,0.004972562,0.0,0.02260962,0.0024551982,0.008174106,0.006464063
Fwd Pkt Len Std,0.0083308965,0.0,0.0,0.0013941076,0.05268847,0.06511992,0.0
Bwd Pkt Len Max,0.06554086,0.0,0.0,0.0017222967,0.0,0.02547371,0.015473302
Bwd Pkt Len Min,0.0,0.0,0.0,0.00023846277,0.0,0.0,0.0
Bwd Pkt Len Mean,0.0,0.0015767032,0.0,0.009467833,0.00060826296,0.22271477,0.0054370724
Bwd Pkt Len Std,0.0,0.0,0.011512561,0.006178608,0.00012638752,0.010166873,0.0
Flow Byts/s,0.0046460303,0.007587278,0.0,0.005560719,0.0046075988,0.05016701,0.0037563567
Flow Pkts/s,0.054907586,0.0,0.030721206,0.00896749,0.01477573,0.0,0.023326213
Flow IAT Mean,0.045225013,0.18637161,0.0026135738,0.011188088,0.009571194,0.0,0.009285509
Flow IAT Std,0.01256427,0.023791045,0.0,0.029486844,0.017998587,0.0070801345,0.003958776
Flow IAT Max,0.027838698,0.0006625561,0.0,0.010333334,0.02195058,0.0,0.047125667
Flow IAT Min,0.029798262,0.08977359,0.0047102207,0.04958762,0.03412264,0.05294076,0.07436051
Fwd IAT Tot,0.016023837,0.00041054992,3.7215643e-05,0.006954273,0.011591274,0.014282514,0.031056114
Fwd IAT Mean,0.006351575,0.0,0.0,0.0048308913,0.0063864104,0.015922315,0.006876608
Fwd IAT Std,0.0057269023,0.0,0.0,0.00055320596,0.0065794215,0.026231004,0.0
Fwd IAT Max,0.00953185,0.0,0.0,0.0011873391,0.0060999026,0.0012641839,0.007897337
Fwd IAT Min,0.020770878,0.01629808,3.4200322e-05,0.007341204,0.007812721,0.02698601,0.05506313
Bwd IAT Tot,0.06988646,0.00419456,0.012494546,0.0056315153,0.01821524,0.0,0.009436792
Bwd IAT Mean,0.058537774,0.0,0.028510049,0.0011995095,0.011255647,0.0,0.08264793
Bwd IAT Std,0.03368313,0.0,0.0,0.0016442795,0.009602604,0.0041322056,0.0
Bwd IAT Max,0.0102268765,0.0,0.0019208736,0.0047553983,0.006267597,0.0,0.0
Bwd IAT Min,0.011012885,0.059993323,0.06794266,0.0071937693,0.011728746,0.063851304,0.041488312
Bwd PSH Flags,0.0,0.0,0.0,0.0064762626,0.012594222,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Len,0.00034420716,0.048652012,2.9584577e-05,0.063520595,0.006951324,0.017736074,0.0659998
Bwd Header Len,0.029575083,0.055258635,0.24357389,0.069544576,0.29697677,0.003569381,0.09124904
Fwd Pkts/s,0.0016372235,0.27380678,0.009315162,0.28984573,0.012916447,0.07736402,0.01271148
Bwd Pkts/s,0.037851963,0.0,0.0,0.017370371,0.034318533,0.024891097,0.002267133
Pkt Len Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pkt Len Max,0.0,0.0,0.0,0.009458241,0.0011385282,0.0,0.0
Pkt Len Mean,0.0,0.02856404,0.001985448,0.027881494,0.08627506,0.012978079,0.0
Pkt Len Std,0.003206268,0.011507113,0.0019070149,0.0010877104,0.008092237,0.038611136,0.0
Pkt Len Var,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN Flag Cnt,0.011904307,0.0,0.0,0.052882385,0.00045632437,0.0,0.021077527
SYN Flag Cnt,0.00012014269,0.0,0.0,0.027449913,0.01918416,0.0,0.0
RST Flag Cnt,0.0,0.0,0.0,0.0015298793,0.0013920839,0.0,0.0
PSH Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK Flag Cnt,0.00069116824,0.0,0.0,0.058306184,0.00017787595,0.019489687,0.0
URG Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,0.0029165177,0.0045248247,0.0,0.002011365,0.008829875,0.0053659156,0.019372664
Pkt Size Avg,0.0005772589,0.0,0.002023723,0.012251716,0.0028662218,0.008451977,0.036417298
Fwd Seg Size Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Seg Size Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
