feature_set,model,n_features,recall,fp_rate,precision,f1,ส่งต่อ_stage2_%,latency_ms_per_1k,threshold
all_features,DecisionTree,65,0.9998910932423357,0.0005845816587504567,0.9998547962610037,0.9998729444222602,80.10555700950886,0.1290977333919522,0.99
all_features,RandomForest,65,0.9954077650518215,7.307270734380708e-05,0.9999817654674422,0.9976895228045919,79.73625287155777,0.9622462843730429,0.99
all_features,XGBoost,65,0.9995825240956201,7.307270734380708e-05,0.9999818416226326,0.9997821429868196,80.07066213033237,0.24454949491971548,0.99
attack7_union,DecisionTree,37,0.9998547909897809,0.000803799780781878,0.9998003484826484,0.9998275689950902,80.10701096280788,0.07638041120256632,0.99
attack7_union,RandomForest,37,0.9960793567240848,7.307270734380708e-05,0.9999817777615803,0.9980267525074793,79.79004914362152,0.789147692719324,0.99
attack7_union,XGBoost,37,0.9994917684642332,7.307270734380708e-05,0.9999818399738496,0.9997367441607131,80.06339236383727,0.2120003207013136,0.99
attack7_intersection,DecisionTree,2,0.9906521699671464,0.33218852758494705,0.9231107502875313,0.9556896083770366,85.96353485126058,0.050194103281276936,0.1989949748743718
attack7_intersection,RandomForest,2,0.9909607391138621,0.3301424917793204,0.9235701114814,0.9560793653573367,85.94754136497136,1.0262947452804005,0.20396984924623107
attack7_intersection,XGBoost,2,0.9915597262810157,0.3268542199488491,0.9243160014212958,0.9567577981330017,85.93009392538312,0.1897154612715685,0.20894472361809047
attack7_mean,DecisionTree,15,0.9997821864846713,0.0006576543660942638,0.9998366309675077,0.9998094079848978,80.09828724301376,0.05046671736911674,0.99
attack7_mean,RandomForest,15,0.9964968326284646,7.307270734380708e-05,0.9999817853955302,0.9982362674327689,79.82349006949897,0.7833161344547246,0.99
attack7_mean,XGBoost,15,0.999437315085401,0.00014614541468761417,0.999963678628505,0.999700427571557,80.06048445723923,0.19993009414847632,0.99
attack7_dynamic,DecisionTree,40,0.9999092443686131,0.0006576543660942638,0.9998366517233244,0.9998729467283782,80.1084649161069,0.09487226858686121,0.99
attack7_dynamic,RandomForest,40,0.9963516236182455,7.307270734380708e-05,0.9999817827409688,0.9981634026148782,79.81185844310681,0.9947378958204323,0.99
attack7_dynamic,XGBoost,40,0.9996006752218975,0.00014614541468761417,0.999963684564124,0.9997821469418877,80.07357003693042,0.24655897185146186,0.99
normal8_union,DecisionTree,39,0.9998910932423357,0.0005115089514066496,0.9998729444222602,0.9998820187499434,80.10410305620982,0.08844579684958453,0.99
normal8_union,RandomForest,39,0.9960793567240848,7.307270734380708e-05,0.9999817777615803,0.9980267525074793,79.79004914362152,0.9436702155389888,0.99
normal8_union,XGBoost,39,0.9996551286007297,7.307270734380708e-05,0.9999818429414434,0.9998184590806767,80.07647794352846,0.25078634194408583,0.99
normal8_intersection,DecisionTree,2,0.9906521699671464,0.33218852758494705,0.9231107502875313,0.9556896083770366,85.96353485126058,0.05152629009544972,0.1989949748743718
normal8_intersection,RandomForest,2,0.9909607391138621,0.3301424917793204,0.9235701114814,0.9560793653573367,85.94754136497136,1.120466690516686,0.20396984924623107
normal8_intersection,XGBoost,2,0.9915597262810157,0.3268542199488491,0.9243160014212958,0.9567577981330017,85.93009392538312,0.2122517363610142,0.20894472361809047
normal8_mean,DecisionTree,15,0.9998003376109488,0.0007307270734380709,0.9998184854425325,0.999809411444389,80.1011951496118,0.04899640563240527,0.99
normal8_mean,RandomForest,15,0.9962245657343038,7.307270734380708e-05,0.9999817804175928,0.9980996372034661,79.80168077001368,0.8200248045268186,0.99
normal8_mean,XGBoost,15,0.9994736173379558,7.307270734380708e-05,0.9999818396440571,0.9997276639009423,80.06193841053826,0.21913802306087862,0.99
normal8_dynamic,DecisionTree,41,0.9998910932423357,0.0005115089514066496,0.9998729444222602,0.9998820187499434,80.10410305620982,0.09241084401079531,0.99
normal8_dynamic,RandomForest,41,0.9960975078503621,7.307270734380708e-05,0.9999817780936242,0.9980358636743899,79.79150309692052,0.974338931428845,0.99
normal8_dynamic,XGBoost,41,0.999673279727007,7.307270734380708e-05,0.9999818432711163,0.9998275376920912,80.07793189682747,0.24864419034040833,0.99
binary_topk,DecisionTree,15,0.9998910932423357,0.00043843624406284253,0.9998910932423357,0.9998910932423357,80.10264910291082,0.04629023772207197,0.99
binary_topk,RandomForest,15,0.9970232152905087,7.307270734380708e-05,0.9999817950118333,0.9985003135707988,79.86565471517055,0.7827230354754173,0.99
binary_topk,XGBoost,15,0.9995825240956201,7.307270734380708e-05,0.9999818416226326,0.9997821429868196,80.07066213033237,0.22530156252195366,0.99
binary_dynamic,DecisionTree,21,0.9998729421160583,0.00036536353671903543,0.9999092410738596,0.9998910912655194,80.09974119631278,0.05861431054326585,0.99
binary_dynamic,RandomForest,21,0.9969143085328445,7.307270734380708e-05,0.9999817930230864,0.998445694756265,79.85693099537643,0.9173893982410161,0.99
binary_dynamic,XGBoost,21,0.9996188263481749,7.307270734380708e-05,0.999981842282062,0.999800301363397,80.07357003693042,0.22532399656591384,0.99
