feature_set,n_features,DecisionTree,RandomForest,XGBoost
attack7_intersection,2,0.9906521699671464,0.9909607391138621,0.9915597262810157
normal8_intersection,2,0.9906521699671464,0.9909607391138621,0.9915597262810157
attack7_mean,15,0.9997821864846713,0.9964968326284646,0.999437315085401
binary_topk,15,0.9998910932423357,0.9970232152905087,0.9995825240956201
normal8_mean,15,0.9998003376109488,0.9962245657343038,0.9994736173379558
binary_dynamic,21,0.9998729421160583,0.9969143085328445,0.9996188263481749
attack7_union,37,0.9998547909897809,0.9960793567240848,0.9994917684642332
normal8_union,39,0.9998910932423357,0.9960793567240848,0.9996551286007297
attack7_dynamic,40,0.9999092443686131,0.9963516236182455,0.9996006752218975
normal8_dynamic,41,0.9998910932423357,0.9960975078503621,0.999673279727007
all_features,65,0.9998910932423357,0.9954077650518215,0.9995825240956201
