feature_set,n_features,recall,precision,f1,latency_ms_per_1k
attack7_intersection,2,0.7344288190254712,0.9774109723695608,0.838675195831176,0.23132671064185306
normal8_intersection,2,0.7344288190254712,0.9774109723695608,0.838675195831176,0.3636190803125398
attack7_mean,15,0.9974697059447284,0.9998753793598898,0.9986710939130243,0.19992591065174134
normal8_mean,15,0.9981132489414449,0.9998315117062736,0.9989716414578538,0.25895337976310673
binary_topk,15,0.9981425008958411,0.9999047633001714,0.9990228549470256,0.2786466737808772
binary_dynamic,21,0.9976159657167094,0.9998827263198786,0.9987480598588456,0.22918701398284091
attack7_union,37,0.9980986229642468,0.9998901082799748,0.9989935624595138,0.24132983583246242
normal8_union,39,0.9977841644544876,0.9998974013220573,0.9988396651500565,0.21929259757024805
attack7_dynamic,40,0.9978865462948743,0.9998974118474661,0.9988909670547672,0.23923888168408597
normal8_dynamic,41,0.9978792333062753,0.9998827572562267,0.998879990629987,0.24537987145668114
all_features,65,0.9975428358307189,0.999875388494693,0.9987077502040876,0.2867431031987679
